                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 0.9459,                 0.6444,                0.85155,                0.92414,                0.98268,                0.99375,                0.77854,                  0.754,                0.64939,                0.82082,             0.00066611,             0.00066611,             0.00066611
                     71,                 1.0101,                0.69337,                0.83352,                0.92414,                0.98268,                0.99375,                0.77854,                  0.754,                0.64939,                0.82082,             0.00067287,             0.00067287,             0.00067287
                     72,                 0.9087,                0.55345,                 0.8577,                0.93397,                0.98197,                  0.995,                0.76271,                0.85509,                0.60982,                0.83361,             0.00067956,             0.00067956,             0.00067956
                     73,                 0.9001,                0.64754,                0.85624,                0.93397,                0.98197,                  0.995,                0.76271,                0.85509,                0.60982,                0.83361,             0.00068616,             0.00068616,             0.00068616
                     74,                0.99879,                 0.7105,                0.86411,                0.93397,                0.98197,                  0.995,                0.76271,                0.85509,                0.60982,                0.83361,             0.00069268,             0.00069268,             0.00069268
                     75,                0.94933,                0.66664,                0.85638,                0.91944,                0.97586,                0.99375,                0.75211,                0.83521,                0.63127,                0.83452,             0.00069911,             0.00069911,             0.00069911
                     76,                 1.0475,                0.61451,                0.87303,                0.91944,                0.97586,                0.99375,                0.75211,                0.83521,                0.63127,                0.83452,             0.00070547,             0.00070547,             0.00070547
                     77,                  1.019,                0.61732,                0.86501,                0.91944,                0.97586,                0.99375,                0.75211,                0.83521,                0.63127,                0.83452,             0.00071174,             0.00071174,             0.00071174
                     78,                0.90684,                0.55564,                0.85291,                0.89484,                0.97778,                0.99375,                0.80187,                0.74623,                0.65618,                0.82243,             0.00071793,             0.00071793,             0.00071793
                     79,                 0.9234,                0.63005,                0.83751,                0.89484,                0.97778,                0.99375,                0.80187,                0.74623,                0.65618,                0.82243,             0.00072403,             0.00072403,             0.00072403
                     80,                 1.0114,                0.61594,                0.83533,                0.89484,                0.97778,                0.99375,                0.80187,                0.74623,                0.65618,                0.82243,             0.00073006,             0.00073006,             0.00073006
                     81,                0.88628,                 0.5741,                0.84233,                0.96682,                0.99991,                0.99375,                0.80997,                0.76418,                0.63414,                0.82054,               0.000736,               0.000736,               0.000736
                     82,                0.99351,                0.64443,                 0.8405,                0.96682,                0.99991,                0.99375,                0.80997,                0.76418,                0.63414,                0.82054,             0.00074186,             0.00074186,             0.00074186
                     83,                 1.2309,                0.70067,                0.85393,                0.96682,                0.99991,                0.99375,                0.80997,                0.76418,                0.63414,                0.82054,             0.00074764,             0.00074764,             0.00074764
                     84,                 1.0019,                0.62818,                0.84596,                0.95863,                      1,                0.99375,                0.79862,                0.83144,                0.69171,                0.82785,             0.00075333,             0.00075333,             0.00075333
                     85,                0.88581,                0.60719,                0.85477,                0.95863,                      1,                0.99375,                0.79862,                0.83144,                0.69171,                0.82785,             0.00075894,             0.00075894,             0.00075894
                     86,                0.83989,                0.58092,                 0.8346,                0.95863,                      1,                0.99375,                0.79862,                0.83144,                0.69171,                0.82785,             0.00076447,             0.00076447,             0.00076447
                     87,                0.95311,                0.62907,                0.85171,                0.95863,                      1,                0.99375,                0.79862,                0.83144,                0.69171,                0.82785,             0.00076992,             0.00076992,             0.00076992
                     88,                 1.0939,                0.66555,                0.87265,                0.95315,                0.99831,                0.99375,                0.81822,                0.81678,                  0.699,                0.82951,             0.00077528,             0.00077528,             0.00077528
                     89,                0.98289,                0.59475,                0.85384,                0.95315,                0.99831,                0.99375,                0.81822,                0.81678,                  0.699,                0.82951,             0.00078056,             0.00078056,             0.00078056
                     90,                0.94641,                0.63397,                0.81909,                0.95315,                0.99831,                0.99375,                0.81822,                0.81678,                  0.699,                0.82951,             0.00078576,             0.00078576,             0.00078576
                     91,                0.94734,                 0.6459,                0.84806,                0.95315,                0.99831,                0.99375,                0.81822,                0.81678,                  0.699,                0.82951,             0.00079088,             0.00079088,             0.00079088
                     92,                0.91522,                0.63854,                0.82687,                0.95178,                      1,                0.99083,                0.77228,                0.80059,                0.71673,                0.82675,             0.00079591,             0.00079591,             0.00079591
                     93,                0.98063,                 0.8428,                0.84981,                0.95178,                      1,                0.99083,                0.77228,                0.80059,                0.71673,                0.82675,             0.00080086,             0.00080086,             0.00080086
                     94,                 1.0427,                0.79419,                0.83603,                0.95178,                      1,                0.99083,                0.77228,                0.80059,                0.71673,                0.82675,             0.00080573,             0.00080573,             0.00080573
                     95,                0.91813,                0.65167,                 0.8513,                0.95178,                      1,                0.99083,                0.77228,                0.80059,                0.71673,                0.82675,             0.00081051,             0.00081051,             0.00081051
                     96,                 1.0141,                0.72825,                0.83538,                0.95397,                0.99557,                0.98667,                0.81442,                 0.7809,                0.57617,                0.82648,             0.00081522,             0.00081522,             0.00081522
